Publisher,Language,Author,Summary,Published Date,ISBN-10,ISBN-13,Type,Book Title,Price,Binding,Pages,Product Dimensions
-,Sinhala,Martin Wickramasinghe,,-,-,-,Book,Handa Sakki Keema,Rs. 125.00,-,-,-
S. Godage & Brothers,Sinhala,Juliet Perera,,2009,-,9789553020956,Book,Hand Embroidery,Rs. 650.00,-,112,21.0 x 29.0
Ravaya,Sinhala,Wimalanath Weerarathne,,-,-,-,Book,Hada Basa Sanvada Saraniya,Rs. 350.00,-,188,220x145x10mm
S. Godage,Sinhala,Anesly Dias,,2006,9559986716,-,Book,Hamu Mahaththaya,Rs. 250.00,-,-,-
Sooriya Publishers,Sinhala,Ranjana Dewamithra Senasinghe/Lef Tolstoy,,2002,9558425486,-,Book,Hajimurath,Rs. 280.00,-,-,-
-,Sinhala,Martin Wickramasinghe,,-,-,-,Book,Guththila Geethaya - Guththila Kauya Wicharaya,Rs. 140.00,-,-,-
S.Godage & Brothers,Sinhala,Wijeerathna Athurupana,,2008,-,9789553005519,Book,GURUWARAYEKUGE MATHAKA SATAHAN,Rs. 200.00,-,184,14*28
J.R.Jayawardhana Kendraya,Sinhala,Dharmarathne Thennakoon,,-,-,-,Book,Jana Nayakayekuge Deshana,Rs. 100.00,-,84,135mm X 220mm
S. Godage,Sinhala,Sunanda Mahendra,,2001,9552047706,-,Book,Jana Dayada,Rs. 150.00,-,-,-
Dayawansha Jayakody,Sinhala,Noman Siripala,,-,-,-,Book,Jana Kavi Ashritha Prastha Pirulu,Rs. 180.00,-,195,-
Malpiyali,Sinhala,Rose De Leema,,2008,-,9789556643201,Book,Jalaja shaka saha jalashritha pradesha walawedena shaka,Rs. 125.00,-,-,-
Nidahas,Sinhala,Kumara Chapa Bandara,,-,-,-,Book,Jala Rakusanta Erehiwa,"Rs. 1,000.00",-,297,8.0 x 5.5
-,Sinhala,"Charles Kingsly,",,-,-,9552075181x,Book,Jala Daruwoo - The Water Babies,Rs. 150.00,-,-,-
Saraswathi Publications,Sinhala,Prof. Bandhusena Gunasekara,,-,9559367552,-,Book,Ithihasika Janashrethi ,Rs. 200.00,-,184,-
-,Sinhala,Prof Mangala Ilangasinha,,2012,.,9789553035295,Book,Ithihasa Athpotha,Rs. 200.00,Book Binding,96,.
Sooriya Publishers,Sinhala,Samaraweera Vijayasingha,,2005,9558892688,-,Book,Ira Muduna,Rs. 180.00,-,-,-
-,Sinhala,Martin Wickramasinghe,,-,-,-,Book,Irangini,Rs. 175.00,-,-,-
Ravaya,Sinhala,Ariyarathne Subasingha,,-,-,9789551468590,Book,Interview Jaya (With CD),Rs. 500.00,-,230,145mm X 210mm
SINHALAPEDIA,Sinhala,-,,-,9550581047,-,Book,INTERNET & E MAIL ,Rs. 95.00,-,32,-
VINIVIDA PUBLICATION,Sinhala,SANJAYA RANGALAL NISHSHANKA,,-,9550262007A,-,Book,INDIANU SANCHARAYATA HINDI PRAYOGIKA DANUMA,Rs. 200.00,-,94,-
Sooriya Publishers,Sinhala,Jim Corbett,,2005,9558892963,-,Book,Indianu Dilindange Kathandara,Rs. 300.00,-,-,-
Dayawansha Jayakody,Sinhala,Ranjith Ananda,,-,-,-,Book,Ilama Binda Watei,Rs. 635.00,-,190,5.5 X 8.5
Godage,Sinhala,Thushara De Silva,This book was won a award in 2004.,-,-,9789552087457,Book,Igilena Kana Kokku,Rs. 175.00,-,-,-
S. Godage & Brothers (Pvt.) Ltd,Sinhala,Ven. Bandaragama Dhammarathanalankara Himi,,2012,.,9789553038227,Book,Hithasuwaya,Rs. 200.00,Book Binding,104,.
S. Godage & Brothers,Sinhala,Rapiel Thennakoon,,2009,-,9789553010278,Book,Honda Sinhala,Rs. 500.00,-,314,14.5 x 21.0
Deepani Publishers,Sinhala,Ashoka Bataduuwa Arachchi,,2000,9558122017,-,Book,Hiru Nodakina Minissu,Rs. 150.00,-,-,-
S. Godage & Brothers,Sinhala,Sugath Shantha Moragahakubura,,2011,-,9789553031211,Book,Hira Gedara Kadulu Bona Gahanu,Rs. 250.00,-,112,8.5 x 5.5
Suriya Publisher,Sinhala,Rajendra Bandara,,-,-,9789556562071,Book,Jhon Paibasge Dutha Mehewara,Rs. 180.00,-,75,140mm X 225mm
S.Godage,Sinhala,Bandara Bamunusingha Arrachchi,,2011,-,9789553008404,Book,Jivithayata Sahanaya 1,Rs. 150.00,-,-,-
Pan Books,Sinhala,Margaret Dickinson,From the much-loved Margaret Dickinson,17 February 2012,330544306,9780330544306,Book,Jenny's War ,"Rs. 1,720.00",Paperback,400,-
BRILIUM PUBLICATION,Sinhala,Priyanga De Zoysa,,-,-,-,Book,Jeewithayata Sathuta,Rs. 570.00,-,-,-
S Godage & Brothers,Sinhala,Prof Siril Ponnapperuma,,2008,9552062659,-,Book,JEEWAYE SAMBAWAYA,Rs. 180.00,-,223,14*22
Menike Sumanasekara,Sinhala,Menike Sumanasekara,,-,-,-,Book,Jeewithayata Sahanayak,Rs. 290.00,-,90,8.5 x 5.5
STAMFOMFORD LAKE PUBLISHER,Sinhala,THILANGANI HERATH,,-,9556581607,-,Book,JEEVITHAYA JAYA GENIMATA RAN DORA ,Rs. 480.00,-,74,-
Godage,Sinhala,K N O Darmadasa,This book was won a main award in 2002.,-,-,9559170503,Book,Jathyanuragaya,Rs. 275.00,-,-,-
S. Godage & Brothers,Sinhala,Induwara Lichchawi Palpola,,2011,-,9789553017086,Book,Jathika Kodiye Abimanaya,Rs. 175.00,-,52,5.5 x 8.5
FORMOST BOOKS,Sinhala,Ananda Liyanage,,-,9551509057,-,Book,JATHARANTHARA WELEDA YANTHRAYA ,"Rs. 1,250.00",-,430,-
-,Sinhala,Martin Wickramasinghe,,-,-,-,Book,Jathaka Katha Vimasuma,Rs. 220.00,-,-,-
Sooriya Publishers,Sinhala,Kathzuki Zekida,,2006,9556560084,-,Book,Japan Zen Bhawana Puhunuwa,Rs. 230.00,-,-,-
-,Sinhala,BALABGODA NANADA HIMI,,STAMFOMFORD LAKE PUBLISHER,955873344X,-,Book,JAPANAYATA ATH POTHAK ,Rs. 530.00,-,358,-
VIJITHA YAPA PUBLICATIONS,Sinhala,NOBUKO KAMURA,,-,-,9789551266769,Book,JAPAN KANJI WEDA POTHA A/L SISUN SADAHA ,Rs. 300.00,-,153,-
Vindada Publications,Sinhala,Sudeera Jayaweera,,-,-,-,Book,Jathaka Kathawala Aparada Vidyathmaka Lakshana,Rs. 720.00,-,175,5.5 X 8.5
-,Sinhala,Piyasena Kahadagamage,,-,-,-,Book,Janashrethiya ha Janathawa,Rs. 250.00,-,-,-
MD Gunasena,Sinhala,Nanda Malalasekara,,-,955210002X,-,Book,Japan Basata Sarala Mangak,Rs. 240.00,-,-,-
-,Sinhala,Darshani Chandrasena,,-,-,-,Book,Janapriya Sinhala Gee Sandaha Batahira Swara Prasthara ,Rs. 350.00,-,-,-
-,Sinhala,CHATURMA RANASINGHE,,-,-,9789555155502,Book,JAPAN BASA,Rs. 400.00,-,90,-
Godage,Sinhala,Dayasena Gunasingha,This book was won a main award in 1986.,-,-,9789552031672,Book,Kanel Pare Nisacharayo,Rs. 100.00,-,-,-
Ravaya,Sinhala,Victor Ivan,,-,9551468170,-,Book,Kandulu salana paradeesaya,"Rs. 1,500.00",-,200,-
-,Sinhala,Martin Wickramasinghe,,-,9558415111,-,Book,Kalunika Seveema,Rs. 250.00,-,150,-
S. Godage,Sinhala,Anurin Indika,,2002,9552055202,-,Book,Kanadara Koralaye Jana Adahili Ha Vishwasa,Rs. 300.00,-,-,-
S. Godage & Brothers,Sinhala,Ediriweera Sarachchandra,,2008,9552000440,-,Book,Kalpana Lokaya,Rs. 400.00,-,184,14.0 x 21.0
-,Sinhala,Martin Wickramasinghe,,-,-,-,Book,Kaliyugaya,Rs. 325.00,-,-,-
S. Godage,Sinhala,G.G.Sarath Ananda,,2010,-,9789553027818,Book,Kalaye Doratu,Rs. 200.00,-,-,-
Samanthi Publications,Sinhala,Ven Hettimulla Rahula,,-,-,-,Book,Kalaya Ha Avakashaya,Rs. 350.00,-,232,211x140x10mm
Gihan book shop,Sinhala,W.O.T Fernando,Includes 12 chapters with question papers divided into I.Q and language ability. This book is targeted at individuals planning to sit for the management exams.,-,955593374X,-,Book,Kalamanakarana Sahakara Prevesha,Rs. 300.00,-,112,9.25in. × 7.25in. (HxW)
S. Godage & Brothers,Sinhala,Dhammika Amarasinghe,,-,9552066646,-,Book,Kalaguna Vidaya Upakarana,Rs. 60.00,Paperback,36,14.5 x 22 x 0.3 cm
Dayawansha Jayakody,Sinhala,Prof.W.Pgamini Da Alwis,,2009,-,97895555166621,Book,Kalamanakaranaya ha Sanvidana Sanskruthiya,Rs. 280.00,-,-,-
Sooriya Publishers,Sinhala,Kahlil Gibran,,2005,9558892398,-,Book,Kahlil Gibran Bhashitha,Rs. 100.00,-,-,-
S.Godage and Brothers,Sinhala,Chandra Wikramarachchi,,2003,9552058554,-,Book,KALA WIRAMAYA,Rs. 140.00,-,116,14*22
S. Godage & Brothers,Sinhala,Gamini Sumanasekara,,2008,-,9789553013231,Book,Kala Satahan,Rs. 300.00,-,200,14.0*21.5
S.Godage Publishers,Sinhala,Nandasena Liyanage, A book on international trade and money in Sinhala.,-,955300026,-,Book,Jyathyanthara Welandama ha Moolya,Rs. 250.00,-,144,140 x 215 x 7 mm
S. Godage & Brothers (Pvt.) Ltd,Sinhala,Lakshmen Palandage,,2012,.,9789553005595,Book,Kabanika Rasayanaya: Bahuwarana 1000,Rs. 200.00,Book Binding,0,.
M D Gunasena,Sinhala,R.B Atapattu,,-,9552109582,-,Book,Jurasik Dainosaru,Rs. 160.00,-,-,-
S. Godage & Brothers (Pvt.) Ltd,Sinhala,Mass Communication Society,,2012,.,9789553039125,Book,Journal of Mass Communication - 2011,Rs. 750.00,Book Binding,126,.
S. Godage & Brothers (Pvt.) Ltd,Sinhala,Mass Communication Society,,2012,.,9789553037473,Book,Journal of Mass Communication - 2010,Rs. 750.00,Book Binding,154,.
Godage,Sinhala,Samaraweera Vijayasingha,This book was won a award in 2005.,-,-,9558892351,Book,Keles Parwatha,Rs. 200.00,-,-,-
Godage,Sinhala,G. B. Senanayake,,-,-,9789553023469,Book,Kekarilla,Rs. 450.00,-,-,-
Ariya Prakasakayo,Sinhala,Piyasena Kahandagamage,,-,-,9789555530507,Book,Kethaka Mahima : Kamatha,Rs. 470.00,-,-,-
BPS,Sinhala,Ajahn Chah Thero,,-,-,-,Book,Kele Gahak,Rs. 330.00,-,97,8.5 x 5.6
-,Sinhala,Martin Wickramasinghe,,-,-,-,Book,Kauya Wicharaya,Rs. 130.00,-,-,-
Buddhist Cultural Centre,Sinhala,Ven. Wetegedara Wimalabuddhi, A book on Buddhism.,-,9559717626,-,Book,Kathina Chivara Pujava Anotatta Vila ...,Rs. 500.00,-,384,213 mm x 140 mm x 20 mm
S. Godage,Sinhala,S.G.Punchihewa,,-,-,-,Book,Katha Geththama,Rs. 660.00,-,192,8.5 x 5.5
Ravaya,Sinhala,Basil Fernando,,-,-,-,Book,Karyakshamabawaya Pragnagocharabawaya Ha Sri Lankawe Neethi Kramaya,Rs. 250.00,-,-,-
-,Sinhala,Martin Wickramasinghe,,-,-,-,Book,Katha Ahura,Rs. 185.00,-,-,-
Author Publication,Sinhala,Samson Edirisinghe,,-,9559958704,-,Book,Karyakshama Rajya Sevayak Udesa,Rs. 120.00,Paperback,84,135x198x5mm
S Godage,Sinhala,Bobby G Boteju,,2010,-,9789553029324,Book,Kelewe Antharjalaya,Rs. 175.00,-,-,-
CENTRAL BANK OF SRI LANKA,Sinhala,G. DHAMMIKA GUNARATHNA,,-,9555124607,-,Book,KASIYE ASIRIYA,Rs. 450.00,-,82,-
Ravaya,Sinhala,Gamini Viyangoda,,-,-,-,Book,Karumakkara kathawaka,Rs. 270.00,-,-,-
-,Sinhala,Martin Wickramasinghe,,-,-,-,Book,Karuwala Gedara,Rs. 250.00,-,-,-
Sanhinda Printers and Publishers,Sinhala,Prof. Desmond Mallikarachchi,,-,-,-,Book,Karl Popper Marxwadaye Vyaja Vivechakayek,Rs. 400.00,-,236,210mm x 140mm
Saraswathi Publications,Sinhala,Dr. E. M.  Rathnapala,,-,9559367277,-,Book,Lakbime Menik ,Rs. 70.00,-,69,-
Dayawansa Jayakody & Company,Sinhala,Thilaka Kudahetti,,-,-,9789555519243,Book,Karma,Rs. 300.00,-,207,150mmX220mm
S. Godage & Brothers,Sinhala,M.B. Ariyapala, A collection of ancient sinhala poems edited by the author.,-,9552060389,-,Book,Kav Silumina,Rs. 675.00,-,530,216mm X 143mm X 30 mm
Ravaya,Sinhala,Nayanananda Wijayakulathilaka,,-,-,-,Book,Kaviya ha siththama,Rs. 600.00,-,-,-
S.Godage and Brothers,Sinhala,Ajith Samarasinha,,2008,9552063574,-,Book,Kanthawa Saha Kantha Athawara,Rs. 275.00,-,282,14*22
Sooriya Publishers,Sinhala,William Knighton,,2005,9558892653,-,Book,Lakbima Wanaseriya,Rs. 350.00,-,-,-
S Godage And Brother,Sinhala,Ariyawansa Jayaweera,,2007,9552096057,-,Book,LAKBIMA BHU PARAMPARA HA PRADHANA BHU NIDI,Rs. 225.00,-,58,-
Godage,Sinhala,K.B Manewa,,-,-,9789553007056,Book,Laggala Janawahara,Rs. 850.00,-,-,-
S Godage And Brother,Sinhala,A.Suddahami,Best book cover :- State Literal Award 2007.,2007,9552085632,-,Book,KUWENI NAM WU YAKLADA,Rs. 175.00,-,148,14*21
ARIYA PUBLICATON,Sinhala,Gunasiri Weerasuriya,,-,-,-,Book,Kuwera,Rs. 855.00,-,294,8.5 x 5.5
-,Sinhala,MORIN SENEVIRATHNE,,-,63158,-,Book,KUNATUWA NONAWATHI HAMAI ,Rs. 250.00,-,146,-
Chandima Munamale Epa,Sinhala,Chandima Munamale Epa,,-,-,9789559940852,Book,Kunatu Samaya,Rs. 200.00,-,80,145mmX210mm
S. Godage,Sinhala,Ven.Benthota Aththadassa Thero,,-,-,-,Book,Kristhiyani Pragnapaththiyata Pilithurak,"Rs. 1,580.00",-,S. Godage,8.5 x 5.5
Gihan book shop,Sinhala,W.O.T Fernando,,-,9789553544,-,Book,Krushikarm Vidyawa Pravesha Perahuruwa,Rs. 290.00,-,-,9.75in. × 7.35in. (HxW)
Sri Lanka Krishnamurthi Center,Sinhala,J.Krishnamurthi,,-,-,-,Book,Krishnamurthige Dina Satahan,Rs. 290.00,-,198,5.0 x 7.5
Sooriya Publishers,Sinhala,Mano Pranandu,,2009,-,9789556561042,Book,Kovoor Sithuwam,Rs. 250.00,-,-,-
Dayawansha Jayakody,Sinhala,Shanika Shriyananda Liyanage,,2000,9555512239,-,Book,Kotupawure Gehenu,Rs. 214.00,-,-,-
S. Godage,Sinhala,J Senavirathne,This is called the Dynamic Meditational which was developed by Osho Dynamic Meditation consists of five stages. which together last one hour. The meditation is accompanied by specially composed music. it is typically done early in the morning.,2007,955209867x,-,Book,Kundalini Yoga,Rs. 475.00,-,348,14*22
SARASAVI BOOK SHOP ( PVT) LTD.,Sinhala,Nandasena Sooriyaarachchi,,2011,9555737584,9789555737586,Book,Kondadeniye Hamuduruwange Viskam,Rs. 280.00,-,146,-
S. Godage,Sinhala,Shshi Prabath Ranasinghe,,2006,9552074894,-,Book,Kolomthota Komaliyata Pembenda - Colombo in old Days,Rs. 125.00,-,-,-
S. Godage,Sinhala,Ranbanda Senevirathna,,2004,9552071496,-,Book,Kokun Pilibanda Katha,Rs. 45.00,-,-,-
SOORIYA PUBLICATION,Sinhala,ROBERT KNOX,,-,-,9558892459,Book,KNOX DUTU LAKDIWA ,Rs. 650.00,-,216,-
S. Godage & Brothers,Sinhala,Keerthi Sri Perera,,2011,-,9789553017376,Book,Lanka Muddara Eakaathu Karannanta Athwalak - 2,Rs. 225.00,-,52,5.5 x 8.5
Fast Publishing,Sinhala,Chandrashri Ranasinha,,-,-,9789556770551,Book,Lankawe Gami Janakatha,Rs. 950.00,-,473,145mm X 210mm
SRIDEVI PUBLICATION,Sinhala,DIVIYAGAHA YASASSI NAHIMI,,-,9559894803,-,Book,LANKAWA HA ASANNA RAJJAYO ,Rs. 300.00,219,-,-
Vijitha Yapa Publications,Sinhala,Ven. Dr. Nedalagamuwe Dhammadinna,,-,-,-,Book,Lanka Yoga Dhammadinna Shailiya,Rs. 300.00,-,79,140mm X 210mm
Sooriya Publishers,Sinhala,Ernest Hackel,,2005,9558892572,-,Book,Lankawata Gamanak,Rs. 430.00,-,-,-
SOORIYA PUBLICATION,Sinhala,ABYA HEWAWASAM,,-,-,9789556560855,Book,LANKAWA PRUTHUGISI UGAYA I KOTASA,Rs. 760.00,-,639,-
Sooriya,Sinhala,"Chithra : Susil Pramarathne, Kathawa : Dharma Sri Kaldera",,-,-,-,Book,Landesi Hatana :(Chithra Katha) 1 kotasa,Rs. 400.00,-,112,280mm X 180mm
Sooriya Publishers,Sinhala,Mari Museus Hinguins,,2000,9558425052,-,Book,Lanka Ithihasaye Kathandara 1,Rs. 180.00,-,-,-
Sooriya,Sinhala,"Chithra : Susil Pramarathne, Kathawa : Dharma Sri Kaldera",,-,-,-,Book,Landesi Hatana : (Chithra Katha) 3 Kotasa,Rs. 400.00,-,108,280mm X 180mm
Sooriya,Sinhala,"Chithra : Susil Pramarathne, Kathawa : Dharma Sri Kaldera",,-,-,-,Book,Landesi Hatana : (Chithra Katha) 2 Kotasa,Rs. 400.00,-,108,280mm X 180mm
Sooriya,Sinhala,Alfred Clerk,,-,-,-,Book,Lakdiwa Pahatharata Dadakeli Sarisara,Rs. 920.00,-,268,8.5 x 5.5
Aruni Shapiro Books,Sinhala,Aruni Shapiro,,2007,955985562x,-,Book,Lamai Hadanne Kohomada,Rs. 300.00,-,-,-
Vindada Publications,Sinhala,Niranji Rupa Malkanthi,,-,-,-,Book,Lama Shramikayo,Rs. 530.00,-,88,5.5 X 8.5
S.Godage,Sinhala,M.S.Palpola,,2006,9552090504,-,Book,Lama Lokaya Hadunaganna,Rs. 125.00,-,-,-
Sooriya Publishers,Sinhala,P.M.G.S. Silva,,2005,9558425397,-,Book,Lakdiva Purana Kodi,Rs. 150.00,-,-,-
Sooriya Publishers,Sinhala,Iris Darnton,,2008,-,9789556560955,Book,Lakdiwa wana charika,Rs. 600.00,-,-,-
Sooriya Publishers,Sinhala,Alfred Clarke,,2005,9558892696,-,Book,Lakdiva Pahatharata Dadekeli Serisara,Rs. 350.00,-,-,-
Sooriya Publishers,Sinhala,H.D. Clement,,2003,9558892122,-,Book,Lakdiva Janakatha,Rs. 120.00,-,-,-
Sooriya Publishers,Sinhala,R.L. Spittel,,1999,9559348361,-,Book,Lakbime Thawath Yugayak,Rs. 500.00,-,-,-
-,Sinhala,Martin Wickramasinghe,,-,-,-,Book,Magul Gedara,Rs. 190.00,-,-,-
S.Godage,Sinhala,Basha Shasthra Adyana Parshadaya,,2009,-,9789553016874,Book,Mahacharya Vimal G. Balagalle Prasada Pranama,Rs. 300.00,-,-,-
Sooriya Publishers,Sinhala,Obri N Wiman,,2007,-,9789556560688,Book,Mage Dana Nidanaya,Rs. 300.00,-,-,-
-,Sinhala,Martin Wickramasinghe,,-,-,-,Book,Mage Kathawa,Rs. 120.00,-,-,-
S. Godage,Sinhala,Kamal Waleboda,,2010,-,9789553024008,Book,Mage Gama,Rs. 200.00,-,-,-
Sooriya Publishers,Sinhala,D.P. Wickramasinghe,,2002,9559348396,-,Book,Maga Digata Janakatha,Rs. 380.00,-,-,-
S. Godage & Brothers,Sinhala,Kapila Kumara Kalinga,,2010,-,9789553026347,Book,Maana Koka,Rs. 300.00,-,120,14.5 x 21.0
Padmakumara,Sinhala,Bandula Padmakumara,,-,-,-,Book,Loku Ayyalaage Maadya Nidahasa,Rs. 520.00,-,195,5.5 X 8.5
Sooriya Publishers,Sinhala,J. Vijeyathunga,,2005,9559348726,-,Book,Ma Payata Thananilla,Rs. 250.00,-,-,-
Sara Prakasana,Sinhala,Piyasena Kahandagamage,,1996,955584125X,9789555841252,Book,Ma Dutu Bintanna: Samaja Samskrtika Adhyayanayak,Rs. 550.00,-,360,-
S. Godage,Sinhala,"Gudrun Pausewang,Senani Darmarathne",,2009,-,9789553019653,Book,Lokaye Vivida Vananthara,Rs. 200.00,-,-,-
S.Godage and Brothers,Sinhala,Keerthi Sri Perera,,2008,9552079322,-,Book,LOKA MUDDHARA EKATHU KARANNANTA ATHWALAK,Rs. 115.00,-,56,14*22
Heladiwa,Sinhala,J.R.P Suriuapperuma,,-,-,-,Book,Lokayata Kauluwak,Rs. 555.00,-,346,5.5 x 8.5
S. Godage,Sinhala,Sumathipala Silva,,2007,955208508x,-,Book,Loka Kusalanaya,Rs. 150.00,-,-,-
S. Godage & Brothers,Sinhala,Tony Ranasinghe,,2011,-,9789553029935,Book,Loka Cricket Kusalana Puranaya,Rs. 550.00,-,396,7 X 10
Gihan book shop,Sinhala,W.O.T Fernando,Includes 9 question papers divided into I.Q and language ability. This book is targeted at individuals planning to sit for the Lipikara exams.,-,9555930791,-,Book,Lipikara Prevesha,Rs. 390.00,-,168,9.75in. × 7.25in. (HxW)
Sooriya Publishers,Sinhala,Sinnathambi,,2005,9558892637,-,Book,Letchimey,Rs. 100.00,-,-,-
-,Sinhala,Martin Wickramasinghe,,-,-,-,Book,Leela,Rs. 200.00,-,-,-
M D Gunasena,Sinhala,T.S Dharmabandu,,-,-,9789552116667,Book,Lassana babata lassana namak,Rs. 200.00,-,-,-
S.Godage and Brothers,Sinhala,C. De. S. Kulathilaka,"Inception of Sri Lankan music has been sought thoroughly and profoundly from its very cultural roots such as Bali, Thovil Kankari or Kolam, Nadagam and Sokari etc. TO accomplish this kind of research our master must have gone to the feet of folk to absorb the odds and ends of each and all facter. It also includes some information on historical Sri Lankan Musical instruments, their pictures and how and when they were occasionally used.",2008,9552018269,-,Book,LANKAWE SANGEETHA SAMBAWAYA,Rs. 750.00,-,316,14*22
Sooriya Publishers,Sinhala,Leonard Wolf,,2001,9559348116,-,Book,Lakbime Sathwasak,Rs. 300.00,-,-,-
Dayawansha Jayakody,Sinhala,Dr.Palitha Saman Jayakody,,-,-,-,Book,Kiri Bee Nesemuda Bath Ka Rekemuda,Rs. 140.00,-,63,-
S. Godage,Sinhala,Piyasena Kahandagamage,,-,-,9789552024283,Book,Kethaka Mahima : Kumbura,Rs. 550.00,-,-,-
SHIKSHA MANDIRA PRAKASHAKAYO,Sinhala,DAYA ROHANA ATHUKORALA,,-,9551782085,-,Book,MANO VIDYATHMAKA UPADESHANAYA ,Rs. 280.00,-,280,-
-,Sinhala,Martin Wickramasinghe,,-,-,-,Book,Manawa Widyawa Ha Sinhala Sanskruthiya,Rs. 145.00,-,-,-
Vindada Publications,Sinhala,Sepala Samarasekara,,-,-,-,Book,Manawa Vidya Muladarma,Rs. 580.00,-,224,5.5 X 8.5
-,Sinhala,Martin Wickramasinghe,,-,-,-,Book,Manawa Hithawadaya Ha Ethera Viyathhu,Rs. 145.00,-,-,-
S. Godage & Brothers (Pvt.) Ltd,Sinhala,Bandula Abesekara,,2012,.,9789553036650,Book,Manasgatha,Rs. 250.00,Book Binding,72,.
Ravaya,Sinhala,Basil Fernando,,-,-,-,Book,Manawa Himikam Pahana,Rs. 250.00,-,-,-
S. Godage,Sinhala,Thilaka Kudahetti,,-,-,-,Book,Maname Bisawak,Rs. 730.00,-,232,8.5 x 5.5
Vindada Publications,Sinhala,Yasanjali Devika Jayathilaka,,-,-,-,Book,Malwara Siritha,Rs. 800.00,-,299,5.5 X 8.5
Samayawardene,Sinhala,Kiran Bedi,,-,-,-,Book,Man Baya Ne,Rs. 870.00,-,413,6.0 x 8.5
Sooriya,Sinhala,"V G C Norwood, Sujeewa Dissanayake",,-,-,9789556561586,Book,Man Alone (Hudekala Minisa),Rs. 350.00,-,-,-
S. Godage & Brothers,Sinhala,Vajira Prabath Vijayasingha,,2011,-,9789553028150,Book,Malaya Dhoni,Rs. 350.00,-,208,8.5 x 5.5
-,Sinhala,Arisen Ahubudu,,2012,955671412X,9789556714128,Book,Malaya,Rs. 300.00,-,32,-
S. Godage & Brothers (Pvt.) Ltd,Sinhala,Ayiwo Wirantha Fernando,,2013,.,9789553039699,Book,Malaka Kadula,Rs. 200.00,Book Binding,56,.
S. Godage,Sinhala,Ven Randobe Shasanalankara thero,,2009,-,9789553019011,Book,Mal Kaudu Sandeshaya,Rs. 250.00,-,-,-
S. Godage,Sinhala,Ajith Kalyana Amarasinha,,2004,9552080703,-,Book,Maheesha Prashnaya ha Thawath Prashna,Rs. 120.00,-,-,-
Sihala,Sinhala,Patali champika Ranawaka,,2008,-,-,Book,Mahaweli Amune Sita Vanniyata,Rs. 200.00,-,-,-
Sooriya Publishers,Sinhala,Ananda Amarasiri,,2006,9558892424,-,Book,Mahaushadha Kumarayage Kathandara,Rs. 230.00,-,-,-
Ravaya,Sinhala,W.U. Abeysinghe,,-,-,-,Book,Mahathma Gandhi,"Rs. 1,100.00",-,-,-
S Godage & Brothers,Sinhala,Sriya Rathnayake,,-,9552088976,-,Book,Mavaka Mathaka,Rs. 300.00,Paperback,196,216x142x12mm
S Godage And Brother,Sinhala,Hiniduma Sunil Senevi,"Author has Introdused this work as a slight extracting from the Sri Lanka Cenema Genealogy .Bit nostalgically through author has a creative and sensational accomplished delivery enabling reader's to have serious impact upon their biographical memory Form the world cinema sources as well as local, author has taken some very compelling and influentila memorandum and has subcribed a brif remark",2007,9552093783,-,Book,MAVILA PENEVI RUPE,Rs. 300.00,-,216,-
S. Godage,Sinhala,Sriya Dikkumbura,,2005,9552079551x,-,Book,Mau padawiya labana obata,Rs. 150.00,-,-,-
Old Boys Association Colombo Branch,Sinhala,Meththananda Samarawickrama, A book on St. Thomas College Mathara.,-,9555055307,-,Book,Mathara Thomasu Puranaya,Rs. 400.00,-,305,-
S. Godage,Sinhala,Nandika Baddegama,,2009,-,9789553003348,Book,Mathara Jana Wahara,Rs. 150.00,-,-,-
S Godage & Brothers,Sinhala,"Prof. Bandhusena Gunasekara, Tikiri bandara Silogama",,-,-,-,Book,Matara Yugaya,Rs. 350.00,-,232,215x138x12mm
Sarasavi Prakashakayo,Sinhala,Nihal Jagatchandra,,-,9555734534,-,Book,Matara Sahithya Yugaye Parani Kivivaru,Rs. 150.00,Paperback,103,145x217x8mm
S. Godage,Sinhala,Peter Kaniut Perera,,2010,-,9789553023421,Book,Mathaka ahura,Rs. 350.00,-,-,-
Ravaya,Sinhala,Victor Ivan,,-,-,-,Book,Mata Penena Hati,Rs. 500.00,-,325,215mm x 140mm
Agahas Publishers,Sinhala,Piyal Kariyawasam,,-,-,-,Book,Mata Erahiwa Mama,Rs. 350.00,-,-,-
S. Godage,Sinhala,Ariyaseena U Gamage,,-,-,-,Book,Mat Diyavediyava Den Suvai,Rs. 430.00,-,260,5.5 x 8.5
-,Sinhala,W. A. Abeysinghe,,-,-,-,Book,Martin Wickramasinghe Maha Gathkaru Watha Prathama Bhagaya,Rs. 75.00,-,-,-
-,Sinhala,W. A. Abeysinghe,,-,-,-,Book,Martin Wickramasinghe Maha Gathkaru Watha Trutheeya Bhagaya,Rs. 550.00,-,-,-
-,Sinhala,Martin Wickramasinghe,,-,-,-,Book,Martin Wickramasinghe Jana Kauthukagaraya - Ath Potha,Rs. 170.00,-,-,-
Dayawansha Jayakody,Sinhala,Marco Polo,,2008,-,9789555516105,Book,Marco Polo - The Travels of Marco Polo,Rs. 350.00,-,-,-
-,Sinhala,W. A. Abeysinghe,,-,-,-,Book,Martin Wickramasinghe Maha Gathkaru Watha Dwitheeya Bhagaya,Rs. 550.00,-,-,-
-,Sinhala,Kumara S. Pathirana,,2008,-,-,Book,Marga Sanggna,Rs. 60.00,-,-,-
